Genotype,Cluster,ligand,receptor,prob,interaction_name,interaction_name_2,pathway_name,annotation,evidence,probWT,LFCprob,Columns
A,Stem (Oncogene) 1,Angptl4,Sdc1,0.011305288378892839,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.010165463427606429,0.10627457781522955,A_Stem (Oncogene) 1
A,Stem (Oncogene) 2,Angptl4,Sdc1,0.011329221430886915,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.012085994758627146,-0.06466196907314083,A_Stem (Oncogene) 2
A,Stem (Reserve),Angptl4,Sdc1,0.014862327552177168,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.022935307109189694,-0.43384785930711006,A_Stem (Reserve)
A,Transit Amplifying,Angptl4,Sdc1,0.015344310220881043,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.014808931210206662,0.035514276758475155,A_Transit Amplifying
A,Stem (Stroma),Angptl4,Sdc1,0.02113805098955467,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.017494956032453147,0.18916216813932957,A_Stem (Stroma)
A,Early Absorptive,Angptl4,Sdc1,0.013261102530449898,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.010920864304621268,0.1941600124344396,A_Early Absorptive
A,Late Absorptive,Angptl4,Sdc1,0.015206658715415933,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.011680432557466395,0.2638183945647323,A_Late Absorptive
A,Secretory,Angptl4,Sdc1,0.006385242322596475,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.00924273734211156,-0.36984865030704256,A_Secretory
A,ER Stress,Angptl4,Sdc1,0.01168705253688175,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.007659133588137691,0.4225827395104695,A_ER Stress
A,Stem (Oncogene) 1,Angptl4,Sdc4,0.010024324492270203,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.007764954495588759,0.25539399221629855,A_Stem (Oncogene) 1
A,Stem (Oncogene) 2,Angptl4,Sdc4,0.00946987089667359,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.006363004043504386,0.39761467450820903,A_Stem (Oncogene) 2
A,Stem (Reserve),Angptl4,Sdc4,0.012600554193718621,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.014694175313337837,-0.15371038145544783,A_Stem (Reserve)
A,Transit Amplifying,Angptl4,Sdc4,0.01114967922760571,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.009514080130130248,0.1586379083543903,A_Transit Amplifying
A,Stem (Stroma),Angptl4,Sdc4,0.01432927690692215,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.01046082932135103,0.31466703995986983,A_Stem (Stroma)
A,Early Absorptive,Angptl4,Sdc4,0.00856286032402075,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.006433084939614769,0.28598008826564225,A_Early Absorptive
A,Late Absorptive,Angptl4,Sdc4,0.006709065227726103,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.005305161759600342,0.23477936744059594,A_Late Absorptive
A,Secretory,Angptl4,Sdc4,0.005885126319068064,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.005660070341103068,0.03899188516979449,A_Secretory
A,ER Stress,Angptl4,Sdc4,0.010809345154027764,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.008444558470943877,0.24688878602340583,A_ER Stress
A,Stem (Oncogene) 1,Ptn,Sdc1,0.09098136408651303,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.07845998145878674,0.14806599081919902,A_Stem (Oncogene) 1
A,Stem (Oncogene) 2,Ptn,Sdc1,0.09115841793621011,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.09208287865243409,-0.010090177016086135,A_Stem (Oncogene) 2
A,Stem (Reserve),Ptn,Sdc1,0.11664957172713153,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.16290217272624039,-0.3339755262846755,A_Stem (Reserve)
A,Transit Amplifying,Ptn,Sdc1,0.12003030620422653,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.11080734260508389,0.07995122148167866,A_Transit Amplifying
A,Stem (Stroma),Ptn,Sdc1,0.15897000961398883,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.1286320190206786,0.21175980333847963,A_Stem (Stroma)
A,Early Absorptive,Ptn,Sdc1,0.10525373193042759,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.08386042100544848,0.22722016763829478,A_Early Absorptive
A,Late Absorptive,Ptn,Sdc1,0.1190670934181349,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.08923538534204947,0.28840948688428814,A_Late Absorptive
A,ER Stress,Ptn,Sdc1,0.09379842526522016,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,NA,NA,A_ER Stress
A,Stem (Oncogene) 1,Ptn,Sdc4,0.08141598814410392,PTN_SDC4,Ptn  - Sdc4,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,NA,NA,A_Stem (Oncogene) 1
A,Stem (Reserve),Ptn,Sdc4,0.10047754181565652,PTN_SDC4,Ptn  - Sdc4,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.11003176851937156,-0.09083489081153669,A_Stem (Reserve)
A,Transit Amplifying,Ptn,Sdc4,0.08982871129644339,PTN_SDC4,Ptn  - Sdc4,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.07375851263424586,0.19710823500374375,A_Transit Amplifying
A,Stem (Stroma),Ptn,Sdc4,0.11288415303896036,PTN_SDC4,Ptn  - Sdc4,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.08057816304506872,0.3371344156531863,A_Stem (Stroma)
A,ER Stress,Ptn,Sdc4,0.08729879094191216,PTN_SDC4,Ptn  - Sdc4,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,NA,NA,A_ER Stress
A,Stem (Oncogene) 1,Ptn,Ncl,0.19148128253364036,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.15936839739223277,0.18357157557765702,A_Stem (Oncogene) 1
A,Stem (Oncogene) 2,Ptn,Ncl,0.15105990095003474,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.12193440529460534,0.2141932145637515,A_Stem (Oncogene) 2
A,Stem (Reserve),Ptn,Ncl,0.13755652889356185,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.11036385579661781,0.22025226475459583,A_Stem (Reserve)
A,Transit Amplifying,Ptn,Ncl,0.1256085100275198,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.08463238504725683,0.3948530113957842,A_Transit Amplifying
A,Stem (Stroma),Ptn,Ncl,0.09394266147941467,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.08302859388824663,0.12349955874621198,A_Stem (Stroma)
A,Stem (Oncogene) 1,Hgf,Met,0.00108416631476317,HGF_MET,Hgf  - Met,HGF,Secreted Signaling,PMID: 28475121,NA,NA,A_Stem (Oncogene) 1
A,Stem (Stroma),Hgf,Met,2.3018079374539783e-4,HGF_MET,Hgf  - Met,HGF,Secreted Signaling,PMID: 28475121,NA,NA,A_Stem (Stroma)
A,Stem (Reserve),Sema3a,NRP1_PLXNA1,2.1914824506248372e-4,SEMA3A_NRP1_PLXNA1,Sema3a  - (Nrp1+Plxna1),SEMA3,Secreted Signaling,PMID: 27533782,1.537061402744168e-4,0.3547058194217817,A_Stem (Reserve)
A,Early Absorptive,Grn,Sort1,0.0010242027634092903,GRN_SORT1,Grn  - Sort1,GRN,Secreted Signaling,PMID: 29555433,NA,NA,A_Early Absorptive
A,Early Absorptive,Col4a5,ITGA1_ITGB1,0.002761929711149775,COL4A5_ITGA1_ITGB1,Col4a5  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0027640540160546677,-7.688422964685077e-4,A_Early Absorptive
A,Early Absorptive,Col6a2,ITGA1_ITGB1,0.00415337329416982,COL6A2_ITGA1_ITGB1,Col6a2  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.003834112309378613,0.07998290883536015,A_Early Absorptive
A,Stem (Reserve),Col1a1,ITGA2_ITGB1,0.05163512895112468,COL1A1_ITGA2_ITGB1,Col1a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.08446871841937523,-0.49217903512407213,A_Stem (Reserve)
A,Transit Amplifying,Col1a1,ITGA2_ITGB1,0.02463287436889061,COL1A1_ITGA2_ITGB1,Col1a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.026224156791493442,-0.06259909364715714,A_Transit Amplifying
A,Stem (Stroma),Col1a1,ITGA2_ITGB1,0.06392858968421479,COL1A1_ITGA2_ITGB1,Col1a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.06071596918675374,0.05155992695617047,A_Stem (Stroma)
A,Early Absorptive,Col1a1,ITGA2_ITGB1,0.020164270708989546,COL1A1_ITGA2_ITGB1,Col1a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,A_Early Absorptive
A,Late Absorptive,Col1a1,ITGA2_ITGB1,0.027232371267921992,COL1A1_ITGA2_ITGB1,Col1a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.023924771889262533,0.1294919829300769,A_Late Absorptive
A,Secretory,Col1a1,ITGA2_ITGB1,0.02338661776004594,COL1A1_ITGA2_ITGB1,Col1a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.02602059749062596,-0.1067244673902328,A_Secretory
A,ER Stress,Col1a1,ITGA2_ITGB1,0.05254825430688988,COL1A1_ITGA2_ITGB1,Col1a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.029554985345879744,0.5754794386608194,A_ER Stress
A,Stem (Oncogene) 1,Col1a2,ITGA2_ITGB1,0.013288086399406849,COL1A2_ITGA2_ITGB1,Col1a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,A_Stem (Oncogene) 1
A,Stem (Reserve),Col1a2,ITGA2_ITGB1,0.039341311993353896,COL1A2_ITGA2_ITGB1,Col1a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.06719296558177802,-0.5352934006918185,A_Stem (Reserve)
A,Transit Amplifying,Col1a2,ITGA2_ITGB1,0.018641657053459496,COL1A2_ITGA2_ITGB1,Col1a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.020592786365416796,-0.09954213500931097,A_Transit Amplifying
A,Stem (Stroma),Col1a2,ITGA2_ITGB1,0.04885861353900457,COL1A2_ITGA2_ITGB1,Col1a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.04804326175410388,0.016828797692894158,A_Stem (Stroma)
A,Early Absorptive,Col1a2,ITGA2_ITGB1,0.015242923667930525,COL1A2_ITGA2_ITGB1,Col1a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,A_Early Absorptive
A,Late Absorptive,Col1a2,ITGA2_ITGB1,0.02062227103229513,COL1A2_ITGA2_ITGB1,Col1a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0187776494143533,0.09370430823936382,A_Late Absorptive
A,Secretory,Col1a2,ITGA2_ITGB1,0.017693017001186254,COL1A2_ITGA2_ITGB1,Col1a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.020432022167251762,-0.1439333421883172,A_Secretory
A,ER Stress,Col1a2,ITGA2_ITGB1,0.0400462114929275,COL1A2_ITGA2_ITGB1,Col1a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.023225413049115576,0.5447870053878393,A_ER Stress
A,Stem (Oncogene) 1,Col4a1,ITGA2_ITGB1,0.008498089832065469,COL4A1_ITGA2_ITGB1,Col4a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,A_Stem (Oncogene) 1
A,Stem (Reserve),Col4a1,ITGA2_ITGB1,0.025401602086056508,COL4A1_ITGA2_ITGB1,Col4a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.04162756803122706,-0.4939503945518903,A_Stem (Reserve)
A,Transit Amplifying,Col4a1,ITGA2_ITGB1,0.011945205243932562,COL4A1_ITGA2_ITGB1,Col4a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.012519730276888462,-0.04697585901644119,A_Transit Amplifying
A,Stem (Stroma),Col4a1,ITGA2_ITGB1,0.03165779140358209,COL4A1_ITGA2_ITGB1,Col4a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.029533211793171688,0.06946883860411787,A_Stem (Stroma)
A,Early Absorptive,Col4a1,ITGA2_ITGB1,0.009755227769628776,COL4A1_ITGA2_ITGB1,Col4a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,A_Early Absorptive
A,Late Absorptive,Col4a1,ITGA2_ITGB1,0.013223930746711394,COL4A1_ITGA2_ITGB1,Col4a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.011407898811966188,0.14772212985167077,A_Late Absorptive
A,Secretory,Col4a1,ITGA2_ITGB1,0.011333400006610256,COL4A1_ITGA2_ITGB1,Col4a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.012421191678648967,-0.09164990139706726,A_Secretory
A,ER Stress,Col4a1,ITGA2_ITGB1,0.025863460626313634,COL4A1_ITGA2_ITGB1,Col4a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.01413517520450913,0.6041647998277474,A_ER Stress
A,Stem (Oncogene) 1,Col4a2,ITGA2_ITGB1,0.006421499436938089,COL4A2_ITGA2_ITGB1,Col4a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,A_Stem (Oncogene) 1
A,Stem (Reserve),Col4a2,ITGA2_ITGB1,0.019274772607668234,COL4A2_ITGA2_ITGB1,Col4a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.030087522599542595,-0.4453134321239383,A_Stem (Reserve)
A,Transit Amplifying,Col4a2,ITGA2_ITGB1,0.009033953722950232,COL4A2_ITGA2_ITGB1,Col4a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.008973440670015527,0.0067209368996098955,A_Transit Amplifying
A,Stem (Stroma),Col4a2,ITGA2_ITGB1,0.0240592293883573,COL4A2_ITGA2_ITGB1,Col4a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.02127156125629947,0.12314765296802338,A_Stem (Stroma)
A,Early Absorptive,Col4a2,ITGA2_ITGB1,0.007373728145818351,COL4A2_ITGA2_ITGB1,Col4a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,A_Early Absorptive
A,Late Absorptive,Col4a2,ITGA2_ITGB1,0.010004187346507957,COL4A2_ITGA2_ITGB1,Col4a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.00817393533783631,0.20205326560162273,A_Late Absorptive
A,Secretory,Col4a2,ITGA2_ITGB1,0.008569962627920286,COL4A2_ITGA2_ITGB1,Col4a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0089025620922819,-0.038075739049761505,A_Secretory
A,ER Stress,Col4a2,ITGA2_ITGB1,0.019627475020794084,COL4A2_ITGA2_ITGB1,Col4a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.010135997894734777,0.660837136108769,A_ER Stress
A,Stem (Oncogene) 1,Col4a5,ITGA2_ITGB1,0.0027339021720673524,COL4A5_ITGA2_ITGB1,Col4a5  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.002443685787957616,0.11222248730306943,A_Stem (Oncogene) 1
A,Stem (Reserve),Col4a5,ITGA2_ITGB1,0.008267498296355105,COL4A5_ITGA2_ITGB1,Col4a5  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.014389353736385084,-0.5541566494766555,A_Stem (Reserve)
A,Transit Amplifying,Col4a5,ITGA2_ITGB1,0.00385194988026689,COL4A5_ITGA2_ITGB1,Col4a5  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.004243350805061349,-0.09677375884842751,A_Transit Amplifying
A,Stem (Stroma),Col4a5,ITGA2_ITGB1,0.010348518537896497,COL4A5_ITGA2_ITGB1,Col4a5  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.010125103920020462,0.02182549638560375,A_Stem (Stroma)
A,Early Absorptive,Col4a5,ITGA2_ITGB1,0.0031410346474679005,COL4A5_ITGA2_ITGB1,Col4a5  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,A_Early Absorptive
A,Late Absorptive,Col4a5,ITGA2_ITGB1,0.0042680407403308885,COL4A5_ITGA2_ITGB1,Col4a5  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0038636385780012328,0.09954550266445457,A_Late Absorptive
A,Secretory,Col4a5,ITGA2_ITGB1,0.003653129499967442,COL4A5_ITGA2_ITGB1,Col4a5  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.00420967511648605,-0.14180127774512902,A_Secretory
A,ER Stress,Col4a5,ITGA2_ITGB1,0.008420511773622914,COL4A5_ITGA2_ITGB1,Col4a5  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0047960652750159765,0.5628747597462431,A_ER Stress
A,Stem (Oncogene) 1,Col6a1,ITGA2_ITGB1,0.010977371060743509,COL6A1_ITGA2_ITGB1,Col6a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,A_Stem (Oncogene) 1
A,Stem (Reserve),Col6a1,ITGA2_ITGB1,0.03265001597025279,COL6A1_ITGA2_ITGB1,Col6a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.05323183993403091,-0.4888113674643058,A_Stem (Reserve)
A,Transit Amplifying,Col6a1,ITGA2_ITGB1,0.01541453262466856,COL6A1_ITGA2_ITGB1,Col6a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.016146488675980265,-0.046391865222717994,A_Transit Amplifying
A,Stem (Stroma),Col6a1,ITGA2_ITGB1,0.040617025131786846,COL6A1_ITGA2_ITGB1,Col6a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.03789933789480635,0.0692536747895833,A_Stem (Stroma)
A,Early Absorptive,Col6a1,ITGA2_ITGB1,0.012596614005395756,COL6A1_ITGA2_ITGB1,Col6a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,A_Early Absorptive
A,Late Absorptive,Col6a1,ITGA2_ITGB1,0.0170582352604011,COL6A1_ITGA2_ITGB1,Col6a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.014717378318286345,0.14760409953342976,A_Late Absorptive
A,Secretory,Col6a1,ITGA2_ITGB1,0.01462766724678138,COL6A1_ITGA2_ITGB1,Col6a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.016019868163514035,-0.09091495977507832,A_Secretory
A,ER Stress,Col6a1,ITGA2_ITGB1,0.03323917220663283,COL6A1_ITGA2_ITGB1,Col6a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.018221266158457514,0.6011396839486224,A_ER Stress
A,Stem (Oncogene) 1,Col6a2,ITGA2_ITGB1,0.004111283861948267,COL6A2_ITGA2_ITGB1,Col6a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.00339014039153577,0.19286402093184551,A_Stem (Oncogene) 1
A,Stem (Reserve),Col6a2,ITGA2_ITGB1,0.012398130638224095,COL6A2_ITGA2_ITGB1,Col6a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.019870281675123138,-0.4716795260983631,A_Stem (Reserve)
A,Transit Amplifying,Col6a2,ITGA2_ITGB1,0.005789351069248582,COL6A2_ITGA2_ITGB1,Col6a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.005882716365028698,-0.015998414624595024,A_Transit Amplifying
A,Stem (Stroma),Col6a2,ITGA2_ITGB1,0.015502623621310517,COL6A2_ITGA2_ITGB1,Col6a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.014004851873785265,0.10160544350273773,A_Stem (Stroma)
A,Early Absorptive,Col6a2,ITGA2_ITGB1,0.004722564553734286,COL6A2_ITGA2_ITGB1,Col6a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,A_Early Absorptive
A,Late Absorptive,Col6a2,ITGA2_ITGB1,0.0064133742532424915,COL6A2_ITGA2_ITGB1,Col6a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.005357096283092684,0.17996344693175034,A_Late Absorptive
A,Secretory,Col6a2,ITGA2_ITGB1,0.0054910819583721395,COL6A2_ITGA2_ITGB1,Col6a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0058361067473465655,-0.060938607544871265,A_Secretory
A,ER Stress,Col6a2,ITGA2_ITGB1,0.01262661982857442,COL6A2_ITGA2_ITGB1,Col6a2  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0066475396369790885,0.6415604633778275,A_ER Stress
A,Stem (Oncogene) 1,Col6a3,ITGA2_ITGB1,0.00809282991413413,COL6A3_ITGA2_ITGB1,Col6a3  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,A_Stem (Oncogene) 1
A,Stem (Reserve),Col6a3,ITGA2_ITGB1,0.02420992439212805,COL6A3_ITGA2_ITGB1,Col6a3  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.039279405000334396,-0.4839376877788526,A_Stem (Reserve)
A,Transit Amplifying,Col6a3,ITGA2_ITGB1,0.011377444402455528,COL6A3_ITGA2_ITGB1,Col6a3  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.011793301780876763,-0.03589889033691432,A_Transit Amplifying
A,Stem (Stroma),Col6a3,ITGA2_ITGB1,0.030181703261631856,COL6A3_ITGA2_ITGB1,Col6a3  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.027847453891183465,0.08049434853993118,A_Stem (Stroma)
A,Early Absorptive,Col6a3,ITGA2_ITGB1,0.009290578764264536,COL6A3_ITGA2_ITGB1,Col6a3  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,A_Early Absorptive
A,Late Absorptive,Col6a3,ITGA2_ITGB1,0.012596166351688823,COL6A3_ITGA2_ITGB1,Col6a3  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.010745279792050817,0.15892594082489395,A_Late Absorptive
A,Secretory,Col6a3,ITGA2_ITGB1,0.010794400846999118,COL6A3_ITGA2_ITGB1,Col6a3  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.01170041291273759,-0.08059657326697905,A_Secretory
A,ER Stress,Col6a3,ITGA2_ITGB1,0.02465066357505156,COL6A3_ITGA2_ITGB1,Col6a3  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.01331627823205031,0.6158166059455534,A_ER Stress
A,Stem (Oncogene) 1,Fn1,ITGA3_ITGB1,0.015415379844484786,FN1_ITGA3_ITGB1,Fn1  - (Itga3+Itgb1),FN1,ECM-Receptor,KEGG: mmu04512,0.013787222034303395,0.11162347858651367,A_Stem (Oncogene) 1
A,Transit Amplifying,Fn1,ITGA3_ITGB1,0.018823435266911957,FN1_ITGA3_ITGB1,Fn1  - (Itga3+Itgb1),FN1,ECM-Receptor,KEGG: mmu04512,0.02074810228964013,-0.09735213629365533,A_Transit Amplifying
A,Stem (Stroma),Fn1,ITGA3_ITGB1,0.027087954059067516,FN1_ITGA3_ITGB1,Fn1  - (Itga3+Itgb1),FN1,ECM-Receptor,KEGG: mmu04512,0.021770320934887864,0.2185415121920956,A_Stem (Stroma)
A,Late Absorptive,Fn1,ITGA3_ITGB1,0.02282624740012941,FN1_ITGA3_ITGB1,Fn1  - (Itga3+Itgb1),FN1,ECM-Receptor,KEGG: mmu04512,0.01630172548417715,0.33664011546068107,A_Late Absorptive
A,Secretory,Fn1,ITGA3_ITGB1,0.016915072267373685,FN1_ITGA3_ITGB1,Fn1  - (Itga3+Itgb1),FN1,ECM-Receptor,KEGG: mmu04512,0.018530560860295916,-0.09121623292177655,A_Secretory
A,Early Absorptive,Lama4,ITGA1_ITGB1,0.00202172380761096,LAMA4_ITGA1_ITGB1,Lama4  - (Itga1+Itgb1),LAMININ,ECM-Receptor,KEGG: mmu04512,NA,NA,A_Early Absorptive
A,Early Absorptive,Lamb1,ITGA1_ITGB1,0.003362966782493088,LAMB1_ITGA1_ITGB1,Lamb1  - (Itga1+Itgb1),LAMININ,ECM-Receptor,KEGG: mmu04512,0.003289026300025427,0.022231991831482036,A_Early Absorptive
A,Stem (Oncogene) 1,Lama4,ITGA2_ITGB1,0.0020011926641750983,LAMA4_ITGA2_ITGB1,Lama4  - (Itga2+Itgb1),LAMININ,ECM-Receptor,KEGG: mmu04512,NA,NA,A_Stem (Oncogene) 1
A,Stem (Reserve),Lama4,ITGA2_ITGB1,0.00606075005159683,LAMA4_ITGA2_ITGB1,Lama4  - (Itga2+Itgb1),LAMININ,ECM-Receptor,KEGG: mmu04512,0.005981138074728076,0.013222699957902578,A_Stem (Reserve)
