AUC,avg_diff,power,avg_logFC,pct.1,pct.2,cluster,gene
0.233,-0.640873808,0.534,-0.640873808,0.675,0.96,Glial,EEF1D
0.233,-0.987394245,0.534,-0.987394245,0.682,0.944,Glial,NFKBIA
0.234,-1.12245354,0.532,-1.12245354,0.072,0.597,Glial,RGS10
0.234,-1.319327647,0.532,-1.319327647,0.292,0.724,Glial,FBLN1
0.235,-0.573703455,0.53,-0.573703455,0.765,0.977,Glial,RPS5
0.235,-0.829606603,0.53,-0.829606603,0.116,0.649,Glial,RRBP1
0.235,-1.394398881,0.53,-1.394398881,0.361,0.778,Glial,CTSC
0.764,0.412699026,0.528,0.412699026,1,0.996,Glial,H3F3B
0.236,-0.564317437,0.528,-0.564317437,0.758,0.975,Glial,RPS21
0.237,-0.721660659,0.526,-0.721660659,0.448,0.905,Glial,UQCRB
0.762,1.411273527,0.524,1.411273527,0.563,0.083,Glial,CADM1
0.762,0.917769813,0.524,0.917769813,0.776,0.611,Glial,LAMP1
0.238,-0.569269294,0.524,-0.569269294,0.812,0.979,Glial,RPL27
0.239,-0.810421225,0.522,-0.810421225,0.152,0.696,Glial,TYMP
0.24,-0.996542744,0.52,-0.996542744,0.047,0.567,Glial,CARD16
0.241,-0.707921347,0.518,-0.707921347,0.606,0.956,Glial,COX7C
0.241,-0.955986787,0.518,-0.955986787,0.144,0.65,Glial,EMILIN1
0.242,-0.482616194,0.516,-0.482616194,0.895,0.992,Glial,RPS25
0.757,1.339805448,0.514,1.339805448,0.755,0.508,Glial,SOX4
0.243,-0.988667953,0.514,-0.988667953,0.451,0.808,Glial,C1S
0.243,-1.10702121,0.514,-1.10702121,0.097,0.61,Glial,SLC2A3
0.756,1.388409275,0.512,1.388409275,0.538,0.043,Glial,NRN1
0.244,-0.942648761,0.512,-0.942648761,0.029,0.542,Glial,ARID5B
0.245,-0.65811359,0.51,-0.65811359,0.491,0.918,Glial,SLC25A6
0.754,1.05303699,0.508,1.05303699,0.693,0.396,Glial,CSRP1
0.247,-0.938055795,0.506,-0.938055795,0.022,0.526,Glial,PPIC
0.247,-1.018055176,0.506,-1.018055176,0.242,0.736,Glial,MEG3
0.752,1.388912526,0.504,1.388912526,0.527,0.045,Glial,GPR155
0.752,1.335646842,0.504,1.335646842,0.509,0.01,Glial,ERBB3
0.248,-1.171260521,0.504,-1.171260521,0.13,0.621,Glial,C11orf96
0.751,1.371438334,0.502,1.371438334,0.581,0.164,Glial,PMEPA1
0.751,1.323875079,0.502,1.323875079,0.527,0.046,Glial,FIBIN
0.75,0.989425748,0.5,0.989425748,0.711,0.475,Glial,POLR2F
0.748,1.047160755,0.496,1.047160755,0.686,0.409,Glial,TAX1BP3
0.748,0.79235355,0.496,0.79235355,0.827,0.769,Glial,SOD1
0.747,1.370914585,0.494,1.370914585,0.549,0.104,Glial,CADM3
0.254,-0.545970231,0.492,-0.545970231,0.787,0.977,Glial,GNB2L1
0.255,-0.524621466,0.49,-0.524621466,0.866,0.989,Glial,RPL38
0.255,-1.398478463,0.49,-1.398478463,0.029,0.518,Glial,ADH1B
0.744,1.346584813,0.488,1.346584813,0.491,0.005,Glial,COL28A1
0.743,1.085467819,0.486,1.085467819,0.632,0.303,Glial,CTNNA1
0.742,0.547558815,0.484,0.547558815,0.968,0.872,Glial,TMEM176B
0.258,-0.746125036,0.484,-0.746125036,0.408,0.859,Glial,MCL1
0.741,1.47428931,0.482,1.47428931,0.484,0.002,Glial,SERPINA5
0.74,1.215169396,0.48,1.215169396,0.545,0.12,Glial,NCAM1
0.74,0.654583938,0.48,0.654583938,0.888,0.85,Glial,ANXA5
0.739,1.229823381,0.478,1.229823381,0.538,0.096,Glial,CTNNAL1
0.261,-0.441804926,0.478,-0.441804926,0.856,0.99,Glial,FAU
0.262,-0.920458822,0.476,-0.920458822,0.051,0.529,Glial,FOXF1
0.263,-0.458352647,0.474,-0.458352647,0.877,0.991,Glial,RPL35
0.263,-0.678115596,0.474,-0.678115596,0.31,0.782,Glial,NAP1L1
0.736,1.008377324,0.472,1.008377324,0.61,0.269,Glial,PDLIM4
0.736,1.002964582,0.472,1.002964582,0.675,0.426,Glial,RDX
0.736,0.512601561,0.472,0.512601561,0.975,0.954,Glial,ACTG1
0.265,-0.807325783,0.47,-0.807325783,0.578,0.916,Glial,IRF1
0.733,1.188295664,0.466,1.188295664,0.69,0.423,Glial,PDK4
0.267,-0.999544231,0.466,-0.999544231,0.032,0.497,Glial,EDIL3
0.732,1.231209821,0.464,1.231209821,0.491,0.045,Glial,RASSF4
0.731,0.614199494,0.462,0.614199494,0.949,0.93,Glial,CST3
0.73,1.155624524,0.46,1.155624524,0.578,0.208,Glial,HSPA2
0.27,-0.91864057,0.46,-0.91864057,0.032,0.491,Glial,FHL2
0.729,1.27604249,0.458,1.27604249,0.458,0.002,Glial,FOXD3-AS1
0.729,0.375001562,0.458,0.375001562,1,0.997,Glial,FTH1
0.271,-0.841169296,0.458,-0.841169296,0.069,0.528,Glial,TFPI
0.271,-1.202315527,0.458,-1.202315527,0.047,0.504,Glial,PDGFRA
0.272,-0.784741737,0.456,-0.784741737,0.126,0.585,Glial,CLEC11A
0.727,1.304465986,0.454,1.304465986,0.466,0.019,Glial,NGFR
0.727,0.981814852,0.454,0.981814852,0.729,0.533,Glial,KLF6
0.273,-0.594637811,0.454,-0.594637811,0.415,0.867,Glial,RPL17
0.273,-1.026438128,0.454,-1.026438128,0.025,0.478,Glial,SCARA5
0.726,1.320270111,0.452,1.320270111,0.455,0.004,Glial,FXYD3
0.274,-0.694126647,0.452,-0.694126647,0.137,0.616,Glial,COX7A1
0.274,-0.952503694,0.452,-0.952503694,0.018,0.469,Glial,COL6A3
0.274,-1.001895696,0.452,-1.001895696,0.144,0.594,Glial,SOD2
0.274,-1.044232306,0.452,-1.044232306,0.076,0.529,Glial,ICAM1
0.724,1.231411818,0.448,1.231411818,0.451,0.004,Glial,XKR4
0.723,1.142765758,0.446,1.142765758,0.495,0.084,Glial,ITPR1
0.723,0.806884226,0.446,0.806884226,0.747,0.57,Glial,PRKCDBP
0.277,-0.529662421,0.446,-0.529662421,0.682,0.949,Glial,RPS10
0.722,1.545302731,0.444,1.545302731,0.509,0.109,Glial,RCAN1
0.722,1.026181071,0.444,1.026181071,0.643,0.406,Glial,CBR1
0.278,-0.382237827,0.444,-0.382237827,0.942,0.996,Glial,RPS15
0.278,-1.069589399,0.444,-1.069589399,0.032,0.477,Glial,TGFBI
0.721,1.228065732,0.442,1.228065732,0.444,0.003,Glial,TTYH1
0.279,-0.339451955,0.442,-0.339451955,0.996,0.993,Glial,MT-CO1
0.279,-0.826045229,0.442,-0.826045229,0.047,0.492,Glial,ETS2
0.72,1.230758173,0.44,1.230758173,0.444,0.007,Glial,COL8A1
0.72,0.58471764,0.44,0.58471764,0.913,0.789,Glial,TMEM176A
0.28,-0.387790056,0.44,-0.387790056,0.964,0.996,Glial,RPL7
0.28,-0.851038034,0.44,-0.851038034,0.061,0.504,Glial,NOVA1
0.719,1.047318649,0.438,1.047318649,0.545,0.196,Glial,SLC22A17
0.283,-0.975077501,0.434,-0.975077501,0.029,0.464,Glial,FENDRR
0.717,1.26415066,0.434,1.26415066,0.437,0.003,Glial,LRRTM1
0.284,-0.343926689,0.432,-0.343926689,0.996,0.993,Glial,MT-CO3
0.284,-1.851237061,0.432,-1.851237061,0.199,0.587,Glial,FABP5
0.716,1.05344578,0.432,1.05344578,0.588,0.292,Glial,TUBB2A
0.716,0.918567154,0.432,0.918567154,0.755,0.634,Glial,WSB1
0.285,-0.592990455,0.43,-0.592990455,0.466,0.869,Glial,GLTSCR2
0.285,-0.612280486,0.43,-0.612280486,0.162,0.614,Glial,PPA1
0.285,-0.738895349,0.43,-0.738895349,0.285,0.708,Glial,PDLIM1
0.715,1.267095908,0.43,1.267095908,0.433,0.006,Glial,SMIM5
0.715,1.040955783,0.43,1.040955783,0.531,0.184,Glial,FEZ1
0.286,-1.979483102,0.428,-1.979483102,0.069,0.489,Glial,POSTN
0.714,1.341318108,0.428,1.341318108,0.43,0.002,Glial,FGFBP2
0.714,1.237106447,0.428,1.237106447,0.44,0.022,Glial,COL9A3
0.714,0.795275744,0.428,0.795275744,0.729,0.597,Glial,ENO1
0.712,1.231898889,0.424,1.231898889,0.462,0.057,Glial,PCDH9
0.289,-1.109475119,0.422,-1.109475119,0.105,0.521,Glial,GEM
0.711,1.303909127,0.422,1.303909127,0.426,0.006,Glial,GFRA2
0.711,1.083723204,0.422,1.083723204,0.43,0.01,Glial,SNCA
0.29,-0.960248146,0.42,-0.960248146,0.022,0.44,Glial,BMP5
0.29,-0.969511476,0.42,-0.969511476,0.083,0.505,Glial,APOC1
0.291,-0.803047735,0.418,-0.803047735,0.058,0.482,Glial,MGLL
0.292,-0.408355481,0.416,-0.408355481,0.852,0.982,Glial,RPL14
0.292,-0.630822044,0.416,-0.630822044,0.462,0.869,Glial,DSTN
0.292,-1.315948408,0.416,-1.315948408,0.058,0.471,Glial,DMKN
0.292,-1.669325091,0.416,-1.669325091,0.032,0.446,Glial,IGFBP3
0.293,-0.523516475,0.414,-0.523516475,0.249,0.703,Glial,EIF3H
0.707,0.9637443,0.414,0.9637443,0.765,0.659,Glial,ANXA1
0.706,0.836722065,0.412,0.836722065,0.65,0.472,Glial,TBCB
0.706,0.569604441,0.412,0.569604441,0.856,0.854,Glial,GSTP1
0.706,0.399965975,0.412,0.399965975,0.989,0.98,Glial,UBC
0.295,-0.713798313,0.41,-0.713798313,0.134,0.556,Glial,NAMPT
0.295,-0.758160582,0.41,-0.758160582,0.054,0.471,Glial,CLEC2B
0.705,0.370995673,0.41,0.370995673,0.971,0.966,Glial,ITM2B
0.704,0.691991469,0.408,0.691991469,0.845,0.778,Glial,RHOB
0.297,-0.458169629,0.406,-0.458169629,0.682,0.95,Glial,RPSA
0.297,-0.765411702,0.406,-0.765411702,0.061,0.47,Glial,PTCH1
0.703,1.114513531,0.406,1.114513531,0.412,0.008,Glial,NRXN3
0.298,-0.667822959,0.404,-0.667822959,0.437,0.78,Glial,C1R
0.298,-0.669154481,0.404,-0.669154481,0.274,0.686,Glial,CEBPB
0.299,-0.630447974,0.402,-0.630447974,0.112,0.527,Glial,RAB13
0.299,-0.777942124,0.402,-0.777942124,0.076,0.483,Glial,CRISPLD2
0.299,-1.410338654,0.402,-1.410338654,0.061,0.458,Glial,FRZB
0.701,1.061812124,0.402,1.061812124,0.534,0.217,Glial,HSPG2
0.3,-1.129382368,0.4,-1.129382368,0.014,0.414,Glial,HAPLN1
0.7,1.079811819,0.4,1.079811819,0.404,0.007,Glial,CADM4
0.301,-1.936062128,0.398,-1.936062128,0.097,0.478,Glial,CCL8
0.699,1.07916875,0.398,1.07916875,0.484,0.146,Glial,GAS7
0.302,-0.599206689,0.396,-0.599206689,0.13,0.546,Glial,EPHX1
0.302,-0.74526051,0.396,-0.74526051,0.271,0.679,Glial,TPM1
0.698,0.965804939,0.396,0.965804939,0.451,0.086,Glial,SLC44A2
0.303,-0.74390876,0.394,-0.74390876,0.018,0.414,Glial,NKX2-3
0.303,-0.849347809,0.394,-0.849347809,0.036,0.431,Glial,TMEM119
0.303,-0.860237417,0.394,-0.860237417,0.267,0.642,Glial,CXCL12
0.697,0.400574037,0.394,0.400574037,0.989,0.99,Glial,TMSB10
0.304,-0.528884008,0.392,-0.528884008,0.451,0.812,Glial,S100A13
0.304,-0.644109788,0.392,-0.644109788,0.245,0.654,Glial,CDKN1A
0.696,1.052177335,0.392,1.052177335,0.394,0.003,Glial,SOX10
0.305,-0.706259903,0.39,-0.706259903,0.007,0.395,Glial,ACVRL1
0.305,-0.988825229,0.39,-0.988825229,0.032,0.422,Glial,EFEMP1
0.695,1.569023517,0.39,1.569023517,0.43,0.061,Glial,FGL2
0.306,-0.581511531,0.388,-0.581511531,0.365,0.775,Glial,MYADM
0.306,-0.792711695,0.388,-0.792711695,0.025,0.415,Glial,GGT5
0.693,1.39671126,0.386,1.39671126,0.39,0.005,Glial,WISP2
0.308,-0.480374907,0.384,-0.480374907,0.256,0.687,Glial,AC090498.1
0.308,-0.891132974,0.384,-0.891132974,0.148,0.517,Glial,PLPP3
0.692,1.1264172,0.384,1.1264172,0.451,0.104,Glial,VWA1
0.692,1.123970169,0.384,1.123970169,0.43,0.071,Glial,GATM
0.692,1.105048042,0.384,1.105048042,0.386,0.003,Glial,CADM2
0.691,1.239230547,0.382,1.239230547,0.433,0.082,Glial,OLFML2A
0.691,1.221884665,0.382,1.221884665,0.383,0,Glial,SOX2
0.31,-0.686303144,0.38,-0.686303144,0.48,0.788,Glial,COL6A1
0.69,1.045174993,0.38,1.045174993,0.487,0.183,Glial,PLA2G16
0.69,0.74190994,0.38,0.74190994,0.668,0.501,Glial,MXRA8
0.311,-0.631757657,0.378,-0.631757657,0.173,0.566,Glial,CTSB
0.311,-0.846682564,0.378,-0.846682564,0.097,0.484,Glial,CCDC80
0.311,-1.216177322,0.378,-1.216177322,0.061,0.433,Glial,CAV1
0.689,1.035085257,0.378,1.035085257,0.415,0.059,Glial,C1orf198
0.688,1.075466689,0.376,1.075466689,0.39,0.02,Glial,CAB39L
0.687,1.104137082,0.374,1.104137082,0.422,0.072,Glial,ASPA
0.313,-0.439409867,0.374,-0.439409867,0.567,0.903,Glial,NPM1
0.314,-0.922838778,0.372,-0.922838778,0.097,0.474,Glial,MYC
0.685,0.448024225,0.37,0.448024225,0.91,0.924,Glial,DYNLL1
0.315,-0.622286313,0.37,-0.622286313,0.184,0.577,Glial,C9orf16
0.315,-0.757674499,0.37,-0.757674499,0.22,0.608,Glial,MFGE8
0.316,-0.424843755,0.368,-0.424843755,0.361,0.78,Glial,C12orf57
0.316,-0.539249495,0.368,-0.539249495,0.888,0.983,Glial,IER2
0.316,-0.650713382,0.368,-0.650713382,0.628,0.938,Glial,TIMP1
0.316,-0.702524326,0.368,-0.702524326,0.054,0.432,Glial,PLAU
0.316,-0.90538362,0.368,-0.90538362,0.047,0.414,Glial,IL32
0.683,1.37144996,0.366,1.37144996,0.379,0.021,Glial,FCGR2B
0.317,-0.673286437,0.366,-0.673286437,0.014,0.381,Glial,PTGER2
0.682,1.01826747,0.364,1.01826747,0.444,0.119,Glial,FADS3
0.682,0.986891087,0.364,0.986891087,0.484,0.201,Glial,PHLDA3
0.682,0.770783568,0.364,0.770783568,0.646,0.54,Glial,TSPO
0.682,0.689314284,0.364,0.689314284,0.574,0.305,Glial,PRSS23
0.682,0.43832348,0.364,0.43832348,0.884,0.888,Glial,SKP1
0.318,-0.489219158,0.364,-0.489219158,0.422,0.79,Glial,EIF3E
0.681,0.683332353,0.362,0.683332353,0.668,0.539,Glial,SGCE
0.319,-0.46578292,0.362,-0.46578292,0.372,0.778,Glial,BST2
0.319,-0.719465313,0.362,-0.719465313,0.058,0.424,Glial,TNFAIP2
0.319,-0.765554072,0.362,-0.765554072,0.105,0.47,Glial,THY1
0.68,0.780076019,0.36,0.780076019,0.646,0.502,Glial,FSTL1
0.32,-0.491103613,0.36,-0.491103613,0.357,0.752,Glial,C6orf48
0.679,0.286346926,0.358,0.286346926,0.975,0.878,Glial,GSN
0.321,-0.729149867,0.358,-0.729149867,0.126,0.496,Glial,SLC9A3R2
0.678,1.020882362,0.356,1.020882362,0.365,0.011,Glial,SEMA3C
0.678,0.619725016,0.356,0.619725016,0.718,0.671,Glial,DYNLRB1
0.322,-0.56087619,0.356,-0.56087619,0.083,0.446,Glial,TMEM98
0.677,1.024441334,0.354,1.024441334,0.365,0.015,Glial,ST6GALNAC2
0.323,-0.467950293,0.354,-0.467950293,0.253,0.644,Glial,KLF10
0.323,-0.590420922,0.354,-0.590420922,0.007,0.358,Glial,CASP1
0.323,-0.673862026,0.354,-0.673862026,0.029,0.381,Glial,LHFP
0.323,-0.687125857,0.354,-0.687125857,0.018,0.374,Glial,SNAI2
0.324,-0.580944075,0.352,-0.580944075,0.253,0.641,Glial,TSC22D1
0.324,-1.765893834,0.352,-1.765893834,0.123,0.465,Glial,CCL11
0.675,0.302070665,0.35,0.302070665,0.996,0.986,Glial,ACTB
0.325,-0.612755124,0.35,-0.612755124,0.231,0.594,Glial,SDC2
0.674,0.63202875,0.348,0.63202875,0.697,0.595,Glial,EMP2
0.326,-0.39321502,0.348,-0.39321502,0.574,0.907,Glial,RPL36AL
0.326,-0.609285618,0.348,-0.609285618,0.126,0.489,Glial,FILIP1L
0.327,-0.745147518,0.346,-0.745147518,0.083,0.43,Glial,WFDC1
0.672,0.540545248,0.344,0.540545248,0.729,0.68,Glial,MGST3
0.671,0.918887003,0.342,0.918887003,0.628,0.499,Glial,INTS6
0.671,0.824677238,0.342,0.824677238,0.581,0.445,Glial,TALDO1
0.329,-0.488575654,0.342,-0.488575654,0.238,0.605,Glial,YBX3
0.329,-1.022826265,0.342,-1.022826265,0.466,0.779,Glial,ID1
0.67,0.730939329,0.34,0.730939329,0.787,0.722,Glial,SAT1
0.67,0.253400704,0.34,0.253400704,0.993,0.999,Glial,MALAT1
0.33,-0.519111358,0.34,-0.519111358,0.022,0.365,Glial,GYPC
0.33,-0.685651311,0.34,-0.685651311,0.083,0.42,Glial,VCAN
0.669,0.676787663,0.338,0.676787663,0.675,0.614,Glial,CD151
0.331,-0.455746302,0.338,-0.455746302,0.978,0.998,Glial,JUNB
0.331,-0.553051963,0.338,-0.553051963,0.134,0.486,Glial,ACTN1
0.668,0.966175906,0.336,0.966175906,0.401,0.087,Glial,GPNMB
0.668,0.906815989,0.336,0.906815989,0.412,0.103,Glial,MCAM
0.668,0.687936282,0.336,0.687936282,0.563,0.397,Glial,ARL2
0.668,0.642250942,0.336,0.642250942,0.635,0.521,Glial,ARL6IP5
0.332,-0.360274709,0.336,-0.360274709,0.773,0.962,Glial,NACA
0.332,-0.596412403,0.336,-0.596412403,0.022,0.36,Glial,FBLIM1
0.332,-0.635036344,0.336,-0.635036344,0.04,0.378,Glial,HAAO
0.667,1.086641135,0.334,1.086641135,0.365,0.042,Glial,MT1M
0.667,0.950488122,0.334,0.950488122,0.35,0.025,Glial,PRIMA1
0.667,0.945787973,0.334,0.945787973,0.44,0.161,Glial,MRGPRF
0.333,-0.50619226,0.334,-0.50619226,0.094,0.445,Glial,TLE4
0.333,-0.58737393,0.334,-0.58737393,0.032,0.369,Glial,PITX1
0.666,0.981963769,0.332,0.981963769,0.44,0.171,Glial,IL11RA
0.334,-0.47983455,0.332,-0.47983455,0.841,0.973,Glial,EGR1
0.665,1.17259064,0.33,1.17259064,0.332,0.003,Glial,MIA
0.665,1.029072963,0.33,1.029072963,0.336,0.006,Glial,SBSPON
0.665,0.657503297,0.33,0.657503297,0.726,0.72,Glial,SRSF7
0.335,-0.322955937,0.33,-0.322955937,0.285,0.668,Glial,LY6E
0.335,-0.381942024,0.33,-0.381942024,0.556,0.887,Glial,ATP5L
0.335,-0.491846623,0.33,-0.491846623,0.126,0.476,Glial,MYH9
0.664,0.396929812,0.328,0.396929812,0.881,0.876,Glial,HSPA8
0.663,0.351185556,0.326,0.351185556,0.964,0.97,Glial,HSPB1
0.337,-0.591404559,0.326,-0.591404559,0.025,0.352,Glial,IL1R1
0.662,1.023505089,0.324,1.023505089,0.347,0.031,Glial,ITGB4
0.662,0.569736627,0.324,0.569736627,0.682,0.591,Glial,ATP6AP2
0.338,-0.548196362,0.324,-0.548196362,0.444,0.767,Glial,KLF4
0.338,-0.683494769,0.324,-0.683494769,0.018,0.344,Glial,MYLK
0.661,0.952995837,0.322,0.952995837,0.325,0.005,Glial,CMTM5
0.661,0.433319715,0.322,0.433319715,0.805,0.81,Glial,MORF4L1
0.339,-0.504168007,0.322,-0.504168007,0.079,0.413,Glial,GMFG
0.339,-0.63702689,0.322,-0.63702689,0.018,0.34,Glial,LOXL1
0.339,-0.698445259,0.322,-0.698445259,0.199,0.501,Glial,RPS4Y1
0.34,-0.356478214,0.32,-0.356478214,0.17,0.533,Glial,HIGD2A
0.34,-0.660894796,0.32,-0.660894796,0.022,0.344,Glial,DLL1
0.341,-0.584668004,0.318,-0.584668004,0.043,0.361,Glial,CD302
0.341,-0.681400238,0.318,-0.681400238,0.079,0.398,Glial,PALLD
0.658,1.318527318,0.316,1.318527318,0.332,0.022,Glial,CAPS
0.658,1.008904762,0.316,1.008904762,0.372,0.077,Glial,DHRS3
0.658,0.822875353,0.316,0.822875353,0.588,0.456,Glial,DDIT4
0.658,0.641021479,0.316,0.641021479,0.679,0.645,Glial,SBDS
0.342,-0.352012039,0.316,-0.352012039,0.318,0.696,Glial,NBEAL1
0.342,-0.354603016,0.316,-0.354603016,0.661,0.929,Glial,OST4
0.342,-0.356394276,0.316,-0.356394276,0.516,0.879,Glial,PABPC1
0.342,-0.460615871,0.316,-0.460615871,0.166,0.504,Glial,LRP1
0.342,-0.588736165,0.316,-0.588736165,0.014,0.329,Glial,RCAN2
0.342,-1.289775895,0.316,-1.289775895,0.029,0.344,Glial,MGP
0.657,1.009844882,0.314,1.009844882,0.354,0.057,Glial,TIMP4
0.657,0.927194955,0.314,0.927194955,0.336,0.03,Glial,KCNMB4
0.657,0.926922508,0.314,0.926922508,0.321,0.01,Glial,HAND2
0.657,0.901062702,0.314,0.901062702,0.336,0.03,Glial,IQGAP2
0.657,0.83066718,0.314,0.83066718,0.538,0.394,Glial,LAMP2
0.343,-0.559453049,0.314,-0.559453049,0.177,0.496,Glial,CTSK
0.343,-0.624348644,0.314,-0.624348644,0.112,0.441,Glial,ADM
0.344,-0.40069308,0.312,-0.40069308,0.199,0.544,Glial,CSRNP1
0.655,0.580940282,0.31,0.580940282,0.765,0.748,Glial,HSPA5
0.654,0.605535304,0.308,0.605535304,0.726,0.611,Glial,C8orf4
0.654,0.266429783,0.308,0.266429783,0.989,0.998,Glial,EIF1
0.346,-0.385671252,0.308,-0.385671252,0.278,0.633,Glial,TSPAN4
0.346,-0.407242343,0.308,-0.407242343,0.473,0.792,Glial,PTMS
0.346,-0.543029371,0.308,-0.543029371,0.036,0.346,Glial,CDH11
0.346,-0.591823756,0.308,-0.591823756,0.032,0.342,Glial,PTGER4
0.653,0.96648095,0.306,0.96648095,0.307,0.001,Glial,TMEM71
0.653,0.791152748,0.306,0.791152748,0.581,0.448,Glial,HEXIM1
0.653,0.759230602,0.306,0.759230602,0.542,0.374,Glial,SPTBN1
0.347,-0.320669195,0.306,-0.320669195,0.148,0.488,Glial,ANP32B
0.347,-0.322638839,0.306,-0.322638839,0.56,0.891,Glial,ATP5G2
0.347,-1.44535037,0.306,-1.44535037,0.112,0.425,Glial,ACTA2
0.652,0.566768729,0.304,0.566768729,0.726,0.685,Glial,ITGB1
0.652,0.446332993,0.304,0.446332993,0.798,0.788,Glial,CD99
0.652,0.340167795,0.304,0.340167795,0.982,0.938,Glial,IFITM3
0.348,-0.287866343,0.304,-0.287866343,0.231,0.596,Glial,PSME2
0.348,-0.372549409,0.304,-0.372549409,0.35,0.707,Glial,SERTAD1
0.651,0.898678232,0.302,0.898678232,0.307,0.006,Glial,SORCS1
0.651,0.763689713,0.302,0.763689713,0.509,0.337,Glial,ITGB1BP1
0.651,0.754723561,0.302,0.754723561,0.531,0.368,Glial,EPB41L2
0.651,0.283404984,0.302,0.283404984,0.978,0.968,Glial,HSP90AA1
0.349,-0.552839856,0.302,-0.552839856,0.094,0.404,Glial,PDLIM3
0.349,-0.957499968,0.302,-0.957499968,0.051,0.354,Glial,CXCR4
0.65,0.692499005,0.3,0.692499005,0.632,0.561,Glial,CTSD
0.65,0.673587549,0.3,0.673587549,0.599,0.536,Glial,SYPL1
0.65,0.541200807,0.3,0.541200807,0.7,0.693,Glial,ITM2C
0.35,-0.342814938,0.3,-0.342814938,0.105,0.432,Glial,NSA2
0.35,-0.34465601,0.3,-0.34465601,0.343,0.712,Glial,HNRNPA3
0.35,-0.437273885,0.3,-0.437273885,0.134,0.457,Glial,RBPMS
0.35,-0.503971485,0.3,-0.503971485,0.058,0.365,Glial,BCL3
0.35,-0.52499328,0.3,-0.52499328,0.029,0.329,Glial,EMID1
0.649,0.923368838,0.298,0.923368838,0.44,0.215,Glial,MT1X
0.649,0.88042584,0.298,0.88042584,0.39,0.134,Glial,PIK3R1
0.649,0.857721093,0.298,0.857721093,0.347,0.07,Glial,DAG1
0.649,0.682496793,0.298,0.682496793,0.516,0.284,Glial,SLITRK6
0.648,0.671233762,0.296,0.671233762,0.693,0.687,Glial,BRD2
0.352,-0.479120795,0.296,-0.479120795,0.047,0.347,Glial,FARP1
0.352,-0.764423603,0.296,-0.764423603,0.065,0.361,Glial,VCAM1
0.353,-0.290377418,0.294,-0.290377418,0.368,0.756,Glial,UQCRH
0.353,-0.320266245,0.294,-0.320266245,0.22,0.566,Glial,PPP1CC
0.353,-0.468212137,0.294,-0.468212137,0.26,0.572,Glial,SPRY1
0.646,0.594204134,0.292,0.594204134,0.671,0.671,Glial,YWHAE
0.354,-0.307330233,0.292,-0.307330233,0.332,0.695,Glial,PRDX2
0.354,-0.66222872,0.292,-0.66222872,0.025,0.315,Glial,PDGFD
0.645,0.65163422,0.29,0.65163422,0.578,0.47,Glial,CAP1
0.645,0.420348302,0.29,0.420348302,0.87,0.876,Glial,S100A11
0.355,-0.3281693,0.29,-0.3281693,0.412,0.764,Glial,SUB1
0.355,-0.334144812,0.29,-0.334144812,0.116,0.428,Glial,FBL
0.355,-0.378672882,0.29,-0.378672882,0.412,0.741,Glial,CAPZB
0.355,-0.426255654,0.29,-0.426255654,0.097,0.404,Glial,PLSCR1
0.644,0.788381727,0.288,0.788381727,0.375,0.123,Glial,COTL1
0.644,0.770282693,0.288,0.770282693,0.415,0.184,Glial,GNG2
0.356,-0.527115384,0.288,-0.527115384,0.043,0.331,Glial,C5orf66-AS1
0.643,0.782799818,0.286,0.782799818,0.433,0.226,Glial,ASPH
0.643,0.444356583,0.286,0.444356583,0.736,0.737,Glial,PTGES3
0.357,-0.350900079,0.286,-0.350900079,0.126,0.439,Glial,NME4
0.357,-0.522707434,0.286,-0.522707434,0.011,0.296,Glial,HNMT
0.642,0.768059779,0.284,0.768059779,0.339,0.073,Glial,RXRG
0.642,0.717463673,0.284,0.717463673,0.408,0.158,Glial,RGCC
0.642,0.522079288,0.284,0.522079288,0.783,0.73,Glial,HES1
0.642,0.36246806,0.284,0.36246806,0.848,0.858,Glial,EID1
0.358,-0.278781107,0.284,-0.278781107,0.469,0.816,Glial,CCNL1
0.358,-0.311482245,0.284,-0.311482245,0.184,0.502,Glial,EIF4B
0.358,-0.431926621,0.284,-0.431926621,0.177,0.488,Glial,SPON2
0.358,-0.726116543,0.284,-0.726116543,0.184,0.468,Glial,FN1
0.359,-0.383595969,0.282,-0.383595969,0.191,0.508,Glial,MAFF
0.359,-0.462315169,0.282,-0.462315169,0.061,0.351,Glial,SMPDL3A
0.64,0.802354014,0.28,0.802354014,0.296,0.019,Glial,COL21A1
0.64,0.664667511,0.28,0.664667511,0.596,0.548,Glial,SRI
0.36,-0.303482518,0.28,-0.303482518,0.3,0.635,Glial,EIF3L
0.36,-0.372747444,0.28,-0.372747444,0.184,0.501,Glial,MIDN
0.36,-0.37696932,0.28,-0.37696932,0.173,0.483,Glial,WARS
0.36,-0.543583311,0.28,-0.543583311,0.018,0.298,Glial,DAB2
0.36,-0.644053884,0.28,-0.644053884,0.014,0.296,Glial,ADAM28
0.361,-0.296262381,0.278,-0.296262381,0.245,0.575,Glial,SH3BGRL3
0.361,-0.349650754,0.278,-0.349650754,0.231,0.542,Glial,RARRES3
0.361,-0.437236407,0.278,-0.437236407,0.047,0.329,Glial,FXYD6
0.638,0.80148667,0.276,0.80148667,0.289,0.015,Glial,PDGFA
0.638,0.732742811,0.276,0.732742811,0.44,0.244,Glial,GLIPR2
