,DE_fc_tumor_over_normal,DE_p_normal_vs_tumor,p_adjusted_qvalue
chr16:284544-333003_RGS11_ENSG00000076344.11,0.000649394,0.920386319,0.940531481
chr17:26684603-26734215_SLC46A1_ENSG00000076351.8,0.013073155,0.634439267,0.940531481
chr1:208195586-208417665_PLXNA2_ENSG00000076356.6,-0.002207041,0.913385285,0.940531481
chr17:26782769-26972472_SPAG5_ENSG00000076382.12,0.046177914,0.238482009,0.873949256
chr12:110436990-110511491_ANKRD13A_ENSG00000076513.12,0.053920523,0.33379204,0.940531481
chr8:80830951-81143467_TPD52_ENSG00000076554.11,-0.242302662,0.014091724,0.207176632
chr12:109549022-109706031_ACACB_ENSG00000076555.11,-0.002043848,0.109550607,0.619634754
chr17:27071001-27077974_TRAF4_ENSG00000076604.10,-0.077573221,0.156968813,0.735931391
chr8:81880044-82024303_PAG1_ENSG00000076641.4,-0.008965713,0.927336764,0.943714381
chr19:33571785-33621448_GPATCH1_ENSG00000076650.2,-0.006507864,0.737013055,0.940531481
chr19:10444451-10450499_ICAM3_ENSG00000076662.5,-0.10722007,0.029465197,0.327000324
chr10:104678049-104953056_NT5C2_ENSG00000076685.14,-0.044498305,0.286612493,0.928851817
chrX:132434130-132549518_GPC4_ENSG00000076716.7,-0.051094352,0.158602155,0.740008626
chrX:131337052-131623996_MBNL3_ENSG00000076770.10,-0.026400298,0.574204163,0.940531481
chr19:7660787-7683190_CAMSAP3_ENSG00000076826.5,-0.03733432,0.23913016,0.873949256
chr1:21922707-21995801_RAP1GAP_ENSG00000076864.15,0.008692661,0.765151723,0.940531481
chr19:7684410-7694451_XAB2_ENSG00000076924.7,0.012069864,0.709778954,0.940531481
chr19:42387227-42434302_ARHGEF1_ENSG00000076928.13,0.086470462,0.092911529,0.576274779
chr19:7694622-7712759_STXBP2_ENSG00000076944.10,-0.133862433,0.037734565,0.37447769
chr19:7968727-7979363_MAP2K7_ENSG00000076984.13,0.008447282,0.746577242,0.940531481
chr2:234263152-234380750_DGKD_ENSG00000077044.5,0.03646933,0.445792062,0.940531481
chr7:117105837-117514193_CTTNBP2_ENSG00000077063.6,-0.026660591,0.75107574,0.940531481
chr3:25639474-25706430_TOP2B_ENSG00000077097.9,0.164815802,0.035497516,0.362839541
chr10:98277865-98347209_TM9SF3_ENSG00000077147.10,0.058937615,0.1871331,0.800475009
chr10:104153866-104162281_NFKB2_ENSG00000077150.13,0.00298537,0.835288797,0.940531481
chr1:202300784-202311108_UBE2T_ENSG00000077152.5,0.192460439,0.00205298,0.056539435
chr1:202317826-202679545_PPP1R12B_ENSG00000077157.16,-0.064210326,0.062341279,0.487037477
chr2:183580998-183659191_DNAJC10_ENSG00000077232.12,0.084962492,0.040688622,0.390747395
chr16:27470875-27561234_GTF3C1_ENSG00000077235.13,-0.005863943,0.584141004,0.940531481
chr16:27324988-27376099_IL4R_ENSG00000077238.9,0.021297144,0.403263244,0.940531481
chr1:78161671-78225537_USP33_ENSG00000077254.10,0.114790516,0.097176764,0.588606234
chrX:110488330-110513751_CAPN6_ENSG00000077274.7,0.00495178,0.882909563,0.940531481
chr19:41197433-41271294_SNRPA_ENSG00000077312.4,0.0006343,0.843597961,0.940531481
chr19:41768400-41930910_EXOSC5_ENSG00000077348.4,0.018815125,0.826885433,0.940531481
chr2:172543918-172604930_DYNC1I2_ENSG00000077380.11,0.076763579,0.400430112,0.940531481
chr7:100169854-100205798_LRCH4_ENSG00000077454.11,0.008724816,0.812319466,0.940531481
chr11:95502105-95565857_FAM76B_ENSG00000077458.8,0.099363677,0.036228348,0.366196402
chr19:4174105-4182601_SIRT6_ENSG00000077463.10,0.003037131,0.948852859,0.960233
chr11:74202756-74380162_POLD3_ENSG00000077514.4,-0.021041297,0.752259691,0.940531481
chr1:19665266-19812066_CAPZB_ENSG00000077549.13,-0.081585043,0.103480151,0.604758477
chr1:236305831-236445319_GPR137B_ENSG00000077585.9,-0.025907865,0.625978967,0.940531481
chr11:89864682-89926062_NAALAD2_ENSG00000077616.6,0.005249868,0.878573181,0.940531481
chr4:129730778-130037795_PHF17_ENSG00000077684.11,0.019286905,0.551483644,0.940531481
chrX:118533022-118588441_SLC25A43_ENSG00000077713.14,0.00599326,0.866774879,0.940531481
chrX:118708500-118718381_UBE2A_ENSG00000077721.11,0.031851635,0.618852691,0.940531481
chr8:38268655-38326352_FGFR1_ENSG00000077782.15,0.03484098,0.309825989,0.940531481
chr7:74071993-74306731_GTF2I_ENSG00000077809.8,0.147293535,0.04715211,0.420805571
chr22:45898117-45997015_FBLN1_ENSG00000077942.13,0.013783481,0.650358046,0.940531481
chr18:44388352-44627658_PIAS2_ENSG00000078043.11,0.013090077,0.552350487,0.940531481
chrX:47420515-47479252_ARAF_ENSG00000078061.8,-0.00622268,0.849382774,0.940531481
chr3:182733005-182833863_MCCC1_ENSG00000078070.7,-0.023996121,0.464907896,0.940531481
chr3:182840000-182881627_LAMP3_ENSG00000078081.3,0.000158579,0.922326526,0.940531481
chr2:163016271-163101661_FAP_ENSG00000078098.9,0.009152673,0.802143812,0.940531481
chr10:21068901-21463977_NEBL_ENSG00000078114.14,0.410279884,0.000365504,0.016683774
chr11:76571910-76737841_ACER3_ENSG00000078124.7,-0.095540221,0.024593063,0.293947352
chr4:39699663-39784412_UBE2K_ENSG00000078140.9,-0.24442104,0.013109183,0.198470212
chr18:39535170-39667794_PIK3C3_ENSG00000078142.7,-0.07851091,0.310576049,0.940531481
chr4:40044536-40159872_N4BP2_ENSG00000078177.9,0.000823951,0.752067028,0.940531481
chr12:4430370-4462338_C12orf5_ENSG00000078237.4,0.047704557,0.248088779,0.885188502
chr12:2904118-3050306_TULP3_ENSG00000078246.11,-0.036595989,0.55916309,0.940531481
chr6:158402887-158520208_SYNJ2_ENSG00000078269.9,-0.006443114,0.646537651,0.940531481
chr14:102228134-102394326_PPP2R5C_ENSG00000078304.15,0.037579845,0.448911198,0.940531481
chr7:99905324-99997719_PMS2P1_ENSG00000078319.7,-0.027469322,0.716703627,0.940531481
chr16:5289802-7763340_RBFOX1_ENSG00000078328.15,0.008575117,0.773980803,0.940531481
chr1:1716728-1822495_GNB1_ENSG00000078369.13,0.068630425,0.137528569,0.687417512
chr7:27202053-27219880_HOXA9_ENSG00000078399.11,0.053068946,0.286552463,0.928848886
chr6:12290595-12297427_EDN1_ENSG00000078401.6,0.071202541,0.16386041,0.75245884
chr10:21823093-22032559_MLLT10_ENSG00000078403.12,-0.133510312,0.072421144,0.520925731
chr7:99998448-100031741_ZCWPW1_ENSG00000078487.13,0.021654905,0.50756286,0.940531481
chr8:16849677-16859690_FGF20_ENSG00000078579.8,0.018696607,0.577875416,0.940531481
chrX:78615880-78623164_ITM2A_ENSG00000078596.6,0.022348267,0.597024669,0.940531481
chr1:52027537-52344477_NRD1_ENSG00000078618.15,-0.112056125,0.116734377,0.63648878
chr8:42249141-42263415_VDAC3_ENSG00000078668.9,0.066097069,0.3343713,0.940531481
chr8:17780348-17885478_PCM1_ENSG00000078674.13,-0.143911809,0.030398878,0.333385897
chr17:76000248-76139049_TNRC6C_ENSG00000078687.12,0.016700861,0.611068193,0.940531481
chr20:32077880-32237842_CBFA2T2_ENSG00000078699.17,0.023260006,0.463122284,0.940531481
chr20:32951040-33099198_ITCH_ENSG00000078747.8,0.062303373,0.269635439,0.913252652
chr20:33284721-33413452_TP53INP2_ENSG00000078804.8,-0.009333312,0.911527352,0.940531481
chr1:1152287-1167411_SDF4_ENSG00000078808.12,0.063824544,0.126234101,0.6606075
chr20:33563205-33680674_MYH7B_ENSG00000078814.11,0.001918586,0.913648891,0.940531481
chr11:1295600-1330884_TOLLIP_ENSG00000078902.11,0.041331207,0.284043481,0.927677159
chr7:43966036-44058774_UBE2D4_ENSG00000078967.8,0.004391258,0.890420518,0.940531481
chr8:92967202-93115514_RUNX1T1_ENSG00000079102.12,-0.043687767,0.046229697,0.415356077
chr8:95139398-95229531_CDH17_ENSG00000079112.5,-0.411775369,0.001106844,0.036635929
chr18:158382-268050_THOC1_ENSG00000079134.7,0.02323636,0.658524542,0.940531481
chr2:179328390-179343327_FKBP7_ENSG00000079150.13,0.040413065,0.196853616,0.816074011
chr2:216972186-217071026_XRCC5_ENSG00000079246.11,0.109042136,0.241814436,0.876961996
chr3:158362066-158410364_LXN_ENSG00000079257.3,-0.109191635,0.016574686,0.22957794
chr1:47004367-47082563_MKNK1_ENSG00000079277.15,-0.057052665,0.252130136,0.892993422
chr19:1815247-1848452_REXO1_ENSG00000079313.7,0.00068395,0.920237436,0.940531481
chr10:71907044-71930279_SAR1A_ENSG00000079332.10,0.360788563,0.003014433,0.07356823
chr1:100810032-100985833_CDC14A_ENSG00000079335.13,0.000402069,0.921403587,0.940531481
chr12:48099867-48231681_RAPGEF3_ENSG00000079337.11,0.005531213,0.80659344,0.940531481
chr19:42901279-43156507_CEACAM1_ENSG00000079385.17,0.311468898,0.000192044,0.010369224
chr12:48436680-48540187_SENP1_ENSG00000079387.9,-0.045746467,0.634975638,0.940531481
chr19:42772688-42799949_CIC_ENSG00000079432.3,-0.016158954,0.397411911,0.940531481
chr8:11653081-11696818_FDFT1_ENSG00000079459.8,-0.066925965,0.615325072,0.940531481
chr19:42801184-42814973_PAFAH1B3_ENSG00000079462.3,0.098542725,0.107258245,0.614285015
chrX:67262185-67653755_OPHN1_ENSG00000079482.11,-0.071184518,0.240799258,0.875976227
chr16:29802039-29816706_KIF22_ENSG00000079616.8,0.005304296,0.675927704,0.940531481
chr6:25279305-25620758_LRRC16A_ENSG00000079691.15,0.249411019,0.014474387,0.21127526
chr1:63906440-64125916_PGM1_ENSG00000079739.11,-0.092287717,0.008737548,0.147675041
chr2:15731301-15771235_DDX1_ENSG00000079785.10,0.100108495,0.127541932,0.665107556
chr19:10828754-10946994_DNM2_ENSG00000079805.12,0.117679461,0.042468599,0.398026233
chr6:131160486-131384462_EPB41L2_ENSG00000079819.12,0.201678442,0.00844145,0.145081978
chr6:132767005-132834337_STX7_ENSG00000079950.9,-0.025925561,0.689135936,0.940531481
chr22:51195375-51239737_RABL2B_ENSG00000079974.13,0.02084663,0.345587397,0.940531481
chr19:10596795-10614417_KEAP1_ENSG00000079999.9,0.013750419,0.549101004,0.940531481
chr6:74078277-74161999_DDX43_ENSG00000080007.6,0.001459677,0.916408939,0.940531481
chr19:55692615-55720874_PTPRH_ENSG00000080031.5,0.010780238,0.691741441,0.940531481
chr20:44978166-44993043_SLC35C2_ENSG00000080189.10,0.015641412,0.646297397,0.940531481
chr3:97595818-97691301_CRYBG3_ENSG00000080200.5,0.018158372,0.621851978,0.940531481
chr9:3218296-3526004_RFX3_ENSG00000080298.11,0.019009586,0.456240788,0.940531481
chr2:152266396-152591001_RIF1_ENSG00000080345.13,0.036461571,0.415256898,0.940531481
chr12:72148653-72184699_RAB21_ENSG00000080371.4,0.03125666,0.522963536,0.940531481
chr4:72053002-72437804_SLC4A4_ENSG00000080493.9,-0.046739348,0.00962736,0.157902501
chr9:2015341-2193624_SMARCA2_ENSG00000080503.15,0.083784585,0.160653366,0.744781472
chr6:109307639-109416022_SESN1_ENSG00000080546.9,0.055868832,0.433806304,0.940531481
chr16:30709029-30787628_SRCAP_ENSG00000080603.12,0.015260941,0.70053221,0.940531481
chr9:2717501-2844241_KIAA0020_ENSG00000080608.9,0.107795673,0.074057294,0.523532489
chr7:135046546-135194875_CNOT4_ENSG00000080802.14,0.100700443,0.040811578,0.391395187
chr14:73603125-73690399_PSEN1_ENSG00000080815.14,-0.176106375,0.010766513,0.172414913
chr3:98216447-98312567_CPOX_ENSG00000080819.2,0.010500009,0.740059132,0.940531481
chr3:98216447-98312567_CLDND1_ENSG00000080822.12,0.040659382,0.311486348,0.940531481
chr14:102547074-102771537_MOK_ENSG00000080823.17,0.039932108,0.44763314,0.940531481
chr14:102547074-102771537_HSP90AA1_ENSG00000080824.14,1.527175924,1.57E-11,8.99E-09
chr20:35624751-35725581_RBL1_ENSG00000080839.7,0.003585345,0.875185237,0.940531481
chr20:34894257-35274619_DLGAP4_ENSG00000080845.13,0.012082074,0.708477342,0.940531481
chr18:2571509-2616634_NDC80_ENSG00000080986.8,0.016480096,0.722614457,0.940531481
chr15:51200868-51298097_AP4E1_ENSG00000081014.6,0.004588611,0.820300205,0.940531481
chr1:114304453-114456708_RSBN1_ENSG00000081019.9,0.013904575,0.622513342,0.940531481
chr1:113933370-114228545_MAGI3_ENSG00000081026.14,-0.021667398,0.613154998,0.940531481
chr4:74962751-74965010_CXCL2_ENSG00000081041.8,0.159808588,0.03517239,0.360673284
chr5:133450401-133706738_TCF7_ENSG00000081059.15,0.046011832,0.207038846,0.835575886
chr6:108362612-108487058_OSTM1_ENSG00000081087.10,-0.056839807,0.340137352,0.940531481
chr3:101292938-101313281_PCNP_ENSG00000081154.7,0.096696332,0.249561479,0.888272076
chr14:69649736-69821183_EXD2_ENSG00000081177.14,0.024410502,0.487212988,0.940531481
chr14:68086514-68162531_ARG2_ENSG00000081181.3,0.000532873,0.920876013,0.940531481
chr5:87803362-88762215_MEF2C_ENSG00000081189.9,0.009333612,0.725639367,0.940531481
chr1:198607800-198726545_PTPRC_ENSG00000081237.14,0.01303289,0.66964627,0.940531481
chr3:132276981-132593067_UBA5_ENSG00000081307.8,0.102505015,0.059796937,0.477171779
chr2:196998289-197041227_STK17B_ENSG00000081320.6,0.033205514,0.234886389,0.869611744
chr9:99212482-99382112_CDC14B_ENSG00000081377.12,0.037101481,0.352832014,0.940531481
chr9:99518146-99540411_ZNF510_ENSG00000081386.8,0.007085169,0.847078756,0.940531481
chr19:19868174-19945736_ZNF506_ENSG00000081665.9,0.020362563,0.844140702,0.940531481
chr1:227916239-227968927_JMJD4_ENSG00000081692.8,0.002806057,0.837143682,0.940531481
chr1:161719547-161727028_DUSP12_ENSG00000081721.7,-0.051680302,0.397865358,0.940531481
chr12:125549924-125627873_AACS_ENSG00000081760.12,-0.073523084,0.001158582,0.037734313
chr5:141303372-141321612_KIAA0141_ENSG00000081791.4,0.051127721,0.3784071,0.940531481
chr7:122753584-122840040_SLC13A1_ENSG00000081800.4,0.004061477,0.894439083,0.940531481
chr7:121958480-122526813_CADPS2_ENSG00000081803.11,0.041033419,0.239820414,0.874755181
chr1:54382246-54411602_HSPB11_ENSG00000081870.7,0.1205442,0.050358377,0.436400176
chr18:60382671-60647666_PHLPP1_ENSG00000081913.9,-0.027955483,0.320369902,0.940531481
chr18:55297533-55470333_ATP8B1_ENSG00000081923.6,-0.252320168,2.02E-08,5.29E-06
chr5:37379313-37753537_WDR70_ENSG00000082068.4,-0.011570094,0.625905359,0.940531481
chr5:39105337-39274630_FYB_ENSG00000082074.11,-0.031051828,0.302445405,0.940531481
chr2:202509592-202563417_MPP4_ENSG00000082126.13,0.002118922,0.912313199,0.940531481
chr2:202241929-202345569_STRADB_ENSG00000082146.8,0.010620387,0.651921652,0.940531481
chr2:201542955-201688569_BZW1_ENSG00000082153.13,0.100808077,0.084403124,0.554727031
chr5:33986282-34124633_C1QTNF3_ENSG00000082196.16,0.005976532,0.741536791,0.940531481
chr18:48405418-48474691_ME2_ENSG00000082212.7,-0.003921501,0.705425821,0.940531481
chr5:31532372-31555165_C5orf22_ENSG00000082213.13,0.009443693,0.844188317,0.940531481
chr2:135493033-135716912_CCNT2_ENSG00000082258.8,-0.004290002,0.317340518,0.940531481
chr6:71122530-71270877_FAM135A_ENSG00000082269.12,-0.05321179,0.763370705,0.940531481
chr6:70576462-70919679_COL19A1_ENSG00000082293.8,0.004014572,0.825524087,0.940531481
chr18:5392382-5630699_EPB41L3_ENSG00000082397.11,-0.005333604,0.984615419,0.987096102
chr2:165510133-165705844_COBLL1_ENSG00000082438.11,0.043860551,0.269507978,0.913252652
chrX:69664710-69725337_DLG3_ENSG00000082458.7,0.012304083,0.603138705,0.940531481
chr1:210404800-210419976_SERTAD4_ENSG00000082497.7,0.002056591,0.912737717,0.940531481
chr1:211499956-211548288_TRAF5_ENSG00000082512.10,-0.076603925,0.230921147,0.864902942
chr5:154320629-154348971_MRPL22_ENSG00000082515.12,-0.098686677,0.13136589,0.675427316
chr5:154266975-154317769_GEMIN5_ENSG00000082516.8,0.024789294,0.526567134,0.940531481
chr17:46125690-46138849_NFE2L1_ENSG00000082641.11,-0.009614198,0.537605011,0.940531481
chr3:119540169-119813264_GSK3B_ENSG00000082701.10,-0.090438031,0.22820526,0.86223177
chr3:124480794-124620265_ITGB5_ENSG00000082781.7,0.036422284,0.378425306,0.940531481
chr12:1021242-1605099_ERC1_ENSG00000082805.15,-0.032213415,0.811965729,0.940531481
chr2:61698322-61765761_XPO1_ENSG00000082898.12,0.002175561,0.462769602,0.940531481
chr3:149478891-149942977_RNF13_ENSG00000082996.15,0.204130785,0.006479527,0.123286134
chr9:73143978-74061820_TRPM3_ENSG00000083067.18,0.001043903,0.918581257,0.940531481
chr16:23614487-23652631_PALB2_ENSG00000083093.5,-0.012114968,0.694961361,0.940531481
chr6:83777384-83908651_DOPEY1_ENSG00000083097.10,0.029987865,0.208236366,0.835868078
chr6:90142888-90348472_LYRM2_ENSG00000083099.6,-0.052444501,0.528140019,0.940531481
chr6:80816363-81055987_BCKDHB_ENSG00000083123.10,0.021845626,0.064424287,0.492162832
chr8:41786996-41909508_KAT6A_ENSG00000083168.5,-0.00049222,0.788226551,0.940531481
chr9:88902647-88969369_ZCCHC6_ENSG00000083223.13,-0.028751525,0.891059328,0.940531481
chr17:19674141-19771249_ULK2_ENSG00000083290.15,0.01030391,0.772331861,0.940531481
chr8:102473404-102681954_GRHL2_ENSG00000083307.6,0.072194964,0.105540487,0.609982026
chr5:72090231-72212560_TNPO1_ENSG00000083312.13,0.01138421,0.685969118,0.940531481
chr1:11994261-12035595_PLOD1_ENSG00000083444.12,-0.105360863,0.144350087,0.705180302
chr17:3566195-3599698_P2RX5_ENSG00000083454.17,0.015354979,0.593266492,0.940531481
chr17:3617921-3704537_ITGAE_ENSG00000083457.7,0.050484898,0.242711838,0.877797159
chr13:73302060-73590591_DIS3_ENSG00000083520.10,0.047629533,0.183662011,0.794176578
chr13:73302060-73590591_PIBF1_ENSG00000083535.11,-0.055117012,0.861388148,0.940531481
chr13:60970590-61148012_TDRD3_ENSG00000083544.9,0.0380226,0.36525064,0.940531481
chr7:117105837-117514193_AC000111.6_ENSG00000083622.8,0.014448634,0.670461089,0.940531481
chr13:45513383-45657260_NUFIP1_ENSG00000083635.7,0.013878918,0.598910508,0.940531481
chr13:33160563-33352157_PDS5B_ENSG00000083642.14,0.053333544,0.204900455,0.832738527
chr5:41730166-41871059_OXCT1_ENSG00000083720.8,-0.063005317,0.087515114,0.563247767
chrX:55744171-55785207_RRAGB_ENSG00000083750.8,-0.006502863,0.726942364,0.940531481
chr16:50774820-50837249_CYLD_ENSG00000083799.13,-0.106817673,0.054969136,0.457343209
chr19:58985383-59023780_SLC27A5_ENSG00000083807.5,0.063133994,0.288632153,0.929652562
chr19:58978422-58984945_ZNF324_ENSG00000083812.7,0.018638654,0.552493962,0.940531481
chr19:58193336-58269527_ZNF671_ENSG00000083814.8,-0.031016257,0.296766282,0.93429825
chr19:58281022-58427978_ZNF586_ENSG00000083828.11,-0.044671854,0.528074596,0.940531481
chr19:58739959-58827023_ZNF8_ENSG00000083842.8,0.002959113,0.905741444,0.940531481
chr19:57702867-57724724_ZNF264_ENSG00000083844.6,0.007848905,0.831690118,0.940531481
chr19:58897766-58906173_RPS5_ENSG00000083845.4,0.19463342,0.054680231,0.457016874
chr4:187508936-187647876_FAT1_ENSG00000083857.9,0.032098789,0.842655861,0.940531481
chr4:69176104-69215807_YTHDC1_ENSG00000083896.8,0.016730156,0.685802232,0.940531481
chr3:87276420-87304698_CHMP2B_ENSG00000083937.4,-0.116297775,0.096311384,0.586401527
chr1:40810521-40888998_SMAP2_ENSG00000084070.7,0.007607732,0.852424057,0.940531481
chr1:40157853-40254533_PPIE_ENSG00000084072.12,-0.00055988,0.742066097,0.940531481
chr1:40723778-40759856_ZMPSTE24_ENSG00000084073.4,0.005258768,0.476309042,0.940531481
chr2:96850596-96908359_STARD7_ENSG00000084090.9,0.045551864,0.45333538,0.940531481
chr4:57829535-58071676_NOA1_ENSG00000084092.6,-0.046012487,0.456233921,0.940531481
chr4:57774074-57802010_REST_ENSG00000084093.11,0.04081843,0.208446392,0.835940119
chr12:109176465-109251366_SSH1_ENSG00000084112.10,0.026146008,0.366766702,0.940531481
chr11:67351065-67354131_GSTP1_ENSG00000084207.11,0.227690561,0.004915474,0.10177112
chr11:129936835-130014699_APLP2_ENSG00000084234.12,-0.065215641,0.383066253,0.940531481
chr12:13197217-13295455_KIAA1467_ENSG00000084444.9,-0.023123985,0.559238277,0.940531481
chr12:21417533-21572528_SLCO1A2_ENSG00000084453.12,0.007666091,0.835496848,0.940531481
chr12:14939409-14956474_WBP11_ENSG00000084463.3,-0.129766939,0.035259207,0.361155305
chr1:32674694-32697205_EIF3I_ENSG00000084623.7,-0.146357458,0.200975957,0.824812539
chr1:32083286-32169920_COL16A1_ENSG00000084636.13,0.024775892,0.457161417,0.940531481
chr1:32645286-32663886_TXLNA_ENSG00000084652.11,0.012629718,0.763028687,0.940531481
chr2:24714782-24993571_NCOA1_ENSG00000084676.11,0.080100868,0.134661093,0.682481416
chr2:27265231-27294641_AGBL5_ENSG00000084693.11,0.039245127,0.303330737,0.940531481
chr2:26256975-26360323_RAB10_ENSG00000084733.6,0.041997054,0.260893051,0.904838641
chr2:26413503-26513336_HADHA_ENSG00000084754.6,-0.0744588,0.054632412,0.457016874
chr2:27070614-27250064_MAPRE3_ENSG00000084764.6,0.010702701,0.693876126,0.940531481
chr2:27440257-27466811_CAD_ENSG00000084774.9,0.041855563,0.263789208,0.908105634
chr11:33719806-33757991_CD59_ENSG00000085063.10,-0.220254037,0.031985129,0.341373644
chr11:44585976-44641913_CD82_ENSG00000085117.7,0.100328325,0.052994534,0.448664174
chrX:129115082-129192058_BCORL1_ENSG00000085185.11,0.003784714,0.897581801,0.940531481
chrX:76760355-77041702_ATRX_ENSG00000085224.16,0.095997459,0.070839509,0.516798074
chr5:68646810-68710628_TAF9_ENSG00000085231.9,-0.149569307,0.135048491,0.682481416
chr3:169490618-169507504_MYNN_ENSG00000085274.11,0.024781678,0.448585033,0.940531481
chr3:168801286-169381406_MECOM_ENSG00000085276.13,-0.041835562,0.480850415,0.940531481
chr5:77656338-77776562_SCAMP1_ENSG00000085365.13,-0.014428666,0.556102024,0.940531481
chr6:105725439-105850959_PREP_ENSG00000085377.9,0.012151588,0.859042021,0.940531481
chr18:12947131-12991172_SEH1L_ENSG00000085415.11,0.094328424,0.141829111,0.699929911
chr2:224720432-224810104_WDFY1_ENSG00000085449.10,0.076351152,0.181582263,0.790223904
chr1:111956935-111970399_OVGP1_ENSG00000085465.11,0.030631286,0.419627806,0.940531481
chr1:108676657-108744113_SLC25A24_ENSG00000085491.11,0.012351258,0.887643727,0.940531481
chr6:161411349-161538417_MAP3K4_ENSG00000085511.15,-0.052825591,0.218156766,0.849396155
chr1:159896828-159915386_IGSF9_ENSG00000085552.12,-0.004034405,0.485602395,0.940531481
chr7:87133174-87461611_ABCB1_ENSG00000085563.10,0.017600099,0.466312877,0.940531481
chr7:134127101-134144036_AKR1B1_ENSG00000085662.9,0.028143542,0.39073955,0.940531481
chr8:87345502-87777251_CPNE3_ENSG00000085719.7,0.15278468,0.028432366,0.319524556
chr16:15068447-15248421_RRN3_ENSG00000085721.8,-0.044389122,0.316995692,0.940531481
chr11:70116805-70282690_CTTN_ENSG00000085733.11,0.149680298,0.05801994,0.469910172
chr11:75897368-75921780_WNT11_ENSG00000085741.8,0.001038338,0.91860838,0.940531481
chr2:55463730-55496483_MTIF2_ENSG00000085760.10,0.074882922,0.135024676,0.682481416
chr8:38082735-38239790_DDHD2_ENSG00000085788.9,0.011917016,0.296353464,0.933962432
chr1:51752929-51810788_TTC39A_ENSG00000085831.11,-0.014788001,0.735469553,0.940531481
chr1:51819934-52027301_EPS15_ENSG00000085832.12,-0.037785399,0.53445457,0.940531481
chr1:52838500-52870131_ORC1_ENSG00000085840.8,0.000601001,0.920591978,0.940531481
chr4:140586921-141075338_MGST2_ENSG00000085871.4,-0.273069802,0.023665177,0.286543178
chr19:16589867-16771253_CHERP_ENSG00000085872.10,0.038328004,0.389624354,0.940531481
chr2:234118696-234204320_ATG16L1_ENSG00000085978.17,0.029176496,0.290922617,0.931603846
chr2:234384165-234475428_USP40_ENSG00000085982.9,0.021151589,0.309429232,0.940531481
chr1:46654353-46686933_POMGNT1_ENSG00000085998.9,0.06431003,0.183565443,0.794073842
chr1:46713359-46769280_RAD54L_ENSG00000085999.7,-0.000939025,0.83486526,0.940531481
chr1:46252658-46501796_MAST2_ENSG00000086015.16,0.040883665,0.410001159,0.940531481
chr9:33025208-33039905_DNAJA1_ENSG00000086061.11,0.536304179,4.04E-06,0.000499282
chr9:33104079-33179981_B4GALT1_ENSG00000086062.8,0.045338935,0.374874407,0.940531481
chr9:33264939-33281977_CHMP5_ENSG00000086065.9,0.024598184,0.893629415,0.940531481
chr9:33290508-33371155_NFX1_ENSG00000086102.14,0.042438601,0.31565107,0.940531481
chr5:61601988-61924409_DIMT1_ENSG00000086189.5,-0.009260752,0.63466694,0.940531481
chr5:61601988-61924409_IPO11_ENSG00000086200.12,0.064226953,0.107253679,0.614285015
chr7:6048875-6098861_EIF2AK1_ENSG00000086232.8,-0.058329973,0.661218654,0.940531481
chr7:37723398-38065297_EPDR1_ENSG00000086289.7,0.010772844,0.619463555,0.940531481
chr7:26331540-26416321_SNX10_ENSG00000086300.11,0.004674036,0.886737654,0.940531481
chr10:13359423-13390297_SEPHS1_ENSG00000086475.10,0.054366253,0.183397149,0.793827902
chr16:417383-420527_MRPL28_ENSG00000086504.11,0.004931515,0.545933792,0.940531481
chr19:41197433-41271294_ITPKC_ENSG00000086544.2,0.000333904,0.921669551,0.940531481
chr19:42212503-42290801_CEACAM6_ENSG00000086548.8,0.603281359,4.98E-06,0.000591476
chr5:150070355-150080669_RBM22_ENSG00000086589.7,-0.082250209,0.221313445,0.853471914
chr12:124066766-124083116_TMED2_ENSG00000086598.6,-0.045924402,0.940377322,0.953821706
chr1:236305831-236445319_ERO1LB_ENSG00000086619.9,0.007845885,0.718320476,0.940531481
chr15:80351909-80430735_ZFAND6_ENSG00000086666.14,-0.319629076,0.002329181,0.061608851
chr16:82068608-82173236_HSD17B2_ENSG00000086696.6,0.04575483,0.20536027,0.833060847
chrX:16804549-16888537_TXLNG_ENSG00000086712.8,-0.056350066,0.376150225,0.940531481
chrX:18694028-18846039_PPEF1_ENSG00000086717.14,0.068196657,0.142904996,0.702021754
chr7:73613981-73644161_LAT2_ENSG00000086730.12,0.006277059,0.86191824,0.940531481
chrX:53559056-53713673_HUWE1_ENSG00000086758.11,-0.031942821,0.667023496,0.940531481
chr11:111652918-111756699_ALG9_ENSG00000086848.10,-0.042097806,0.401170064,0.940531481
chr11:89057523-89322779_NOX4_ENSG00000086991.8,0.00238347,0.910418441,0.940531481
chr4:8368008-8514337_ACOX3_ENSG00000087008.11,0.000591281,0.920632892,0.940531481
chr11:95566045-95658479_MTMR2_ENSG00000087053.14,-0.014890581,0.985652313,0.988012343
chr19:49375648-49379314_PPP1R15A_ENSG00000087074.7,0.252711188,0.004801013,0.100546606
chr7:100464759-100471076_TRIP6_ENSG00000087077.7,0.070433113,0.333432733,0.940531481
chr7:100487614-100494594_ACHE_ENSG00000087085.9,0.008706077,0.812754111,0.940531481
chr19:49468557-49470135_FTL_ENSG00000087086.9,-0.297109665,0.000550336,0.022286186
chr7:100472732-100486285_SRRT_ENSG00000087087.14,0.192075923,0.012268131,0.188702418
