TableS1.  Gene expression signatures of crypt cell populations.  ,,,,,,
,,,,,,
Proliferation Signature (EphB2high = EphB2medium > EphB2low),,,,,,
,,,,,,
ID,Gene,Description,EphB2high vs EphB2medium,EphB2medium vs EphB2low,,* denotes repeated genes
1435469_at,QSOX2,quiescin Q6 sulfhydryl oxidase 2,1.47,3.19,,
1417096_at,RRP15,ribosomal RNA processing 15 homolog (S. cerevisiae),1.16,3.18,,
1429171_a_at,NCAPG (includes EG:54392),"non-SMC condensin I complex, subunit G",1.34,3.18,,
1424511_at,AURKA,aurora kinase A,1.36,3.18,,
1417656_at,MYBL2*,v-myb myeloblastosis viral oncogene homolog (avian)-like 2,1.16,3.18,,
1456319_at,NA,NA,1.42,3.18,,
1423564_a_at,PAICS*,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase",1.13,3.18,,
1435068_at,PIP4K2B,"phosphatidylinositol-5-phosphate 4-kinase, type II, beta",1.49,3.18,,
1431087_at,SPC24,"SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)",1.13,3.17,,
1438817_at,DNA2*,DNA replication helicase 2 homolog (yeast),1.10,3.17,,
1423775_s_at,PRC1*,protein regulator of cytokinesis 1,1.20,3.17,,
1443750_s_at,RPP40,ribonuclease P/MRP 40kDa subunit,1.49,3.17,,
1446507_at,KIF24,kinesin family member 24,1.04,3.17,,
1419909_at,MPHOSPH9*,M-phase phosphoprotein 9,1.42,3.17,,
1427911_at,TMEM173,transmembrane protein 173,1.32,3.17,,
1460353_at,TMEM48,transmembrane protein 48,1.25,3.16,,
1428600_at,NIN,ninein (GSK3B interacting protein),1.48,3.16,,
1455674_at,WDR76,WD repeat domain 76,1.16,3.15,,
1418397_at,ZNF275,zinc finger protein 275,1.27,3.15,,
1434125_at,UTP15,"UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae)",1.25,3.14,,
1429700_at,3110040M04RIK,RIKEN cDNA 3110040M04 gene,-1.08,3.14,,
1419253_at,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",1.12,3.13,,
1417450_a_at,TACC3,"transforming, acidic coiled-coil containing protein 3",1.42,3.13,,
1442287_at,NA,NA,1.17,3.13,,
1453611_at,RBBP6 (includes EG:19647),retinoblastoma binding protein 6,-1.26,3.12,,
1452334_at,CENPF*,"centromere protein F, 350/400ka (mitosin)",1.43,3.12,,
1447403_a_at,ZMYND19*,"zinc finger, MYND-type containing 19",1.33,3.12,,
1437480_at,SKA2,spindle and kinetochore associated complex subunit 2,1.34,3.12,,
1448638_at,MTBP,"Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) binding protein, 104kDa",1.12,3.11,,
1435737_a_at,NDE1,nudE nuclear distribution gene E homolog 1 (A. nidulans),1.47,3.11,,
1454946_at,MYBL2*,v-myb myeloblastosis viral oncogene homolog (avian)-like 2,1.40,3.11,,
1426630_at,EXOSC2,exosome component 2,1.38,3.11,,
1422944_a_at,DIAPH3,diaphanous homolog 3 (Drosophila),1.35,3.11,,
1448314_at,CDC2,"cell division cycle 2, G1 to S and G2 to M",1.24,3.11,,
1455218_at,CP110,CP110 protein,1.16,3.11,,
1435473_at,KIAA0649,KIAA0649,1.16,3.10,,
1455453_at,GEMIN5 (includes EG:25929),gem (nuclear organelle) associated protein 5,1.40,3.10,,
1452097_a_at,DUSP7,dual specificity phosphatase 7,1.26,3.10,,
1419058_at,POLR1E,"polymerase (RNA) I polypeptide E, 53kDa",1.47,3.10,,
1423787_at,NUP133,nucleoporin 133kDa,1.31,3.09,,
1435604_at,TRIM37*,tripartite motif-containing 37,1.33,3.09,,
1454604_s_at,TSPAN12,tetraspanin 12,1.19,3.09,,
1452778_x_at,NAP1L1*,nucleosome assembly protein 1-like 1,1.24,3.08,,
1423774_a_at,PRC1*,protein regulator of cytokinesis 1,1.20,3.08,,
1433622_at,GEMIN4,gem (nuclear organelle) associated protein 4,1.32,3.08,,
1429149_at,GINS3,GINS complex subunit 3 (Psf3 homolog),1.43,3.08,,
1452241_at,TOPBP1,topoisomerase (DNA) II binding protein 1,1.12,3.08,,
1432034_at,NEUROG3,neurogenin 3,-1.32,3.08,,
1419910_at,MPHOSPH9*,M-phase phosphoprotein 9,1.43,3.07,,
1418981_at,CASP12 (includes EG:12364),caspase 12,1.23,3.07,,
1417818_at,WWTR1,WW domain containing transcription regulator 1,1.42,3.07,,
1420476_a_at,NAP1L1*,nucleosome assembly protein 1-like 1,1.24,3.07,,
1438320_s_at,MCM7*,minichromosome maintenance complex component 7,1.17,3.07,,
1432538_a_at,RFC3*,"replication factor C (activator 1) 3, 38kDa",1.36,3.07,,
1419522_at,ZMYND19*,"zinc finger, MYND-type containing 19",1.19,3.06,,
1450692_at,KIF4A,kinesin family member 4A,1.27,3.06,,
1423520_at,LMNB1,lamin B1,1.24,3.05,,
1423700_at,RFC3*,"replication factor C (activator 1) 3, 38kDa",1.23,3.05,,
1454684_at,BBS7,Bardet-Biedl syndrome 7,1.24,3.05,,
1436802_at,ILF3,"interleukin enhancer binding factor 3, 90kDa",1.37,3.05,,
1417848_at,ZNF704,zinc finger protein 704,1.44,3.05,,
1429395_at,GSTCD,"glutathione S-transferase, C-terminal domain containing",1.19,3.05,,
1449061_a_at,PRIM1*,"primase, DNA, polypeptide 1 (49kDa)",1.16,3.04,,
1447174_at,NA,NA,1.27,3.04,,
1419874_x_at,ZBTB16,zinc finger and BTB domain containing 16,1.37,3.04,,
1426936_at,NA,NA,1.23,3.04,,
1438016_at,DKC1,"dyskeratosis congenita 1, dyskerin",1.03,3.03,,
1450630_at,QTRT1,queuine tRNA-ribosyltransferase 1,1.47,3.03,,
1429294_at,TRIP13*,thyroid hormone receptor interactor 13,1.38,3.03,,
1416629_at,SLC1A5,"solute carrier family 1 (neutral amino acid transporter), member 5",1.44,3.03,,
1451306_at,CDCA7L,cell division cycle associated 7-like,1.35,3.02,,
1430339_at,C14ORF143,chromosome 14 open reading frame 143,1.28,3.02,,
1459658_at,MCM5*,minichromosome maintenance complex component 5,1.10,3.02,,
1429295_s_at,TRIP13*,thyroid hormone receptor interactor 13,1.29,3.02,,
1439112_at,2810442I21RIK,RIKEN cDNA 2810442I21 gene,1.38,3.02,,
1421544_at,DNAH11,"dynein, axonemal, heavy chain 11",1.35,3.01,,
1452696_a_at,4933439C10RIK,RIKEN cDNA 4933439C10 gene,1.38,3.01,,
1456055_x_at,POLD1*,"polymerase (DNA directed), delta 1, catalytic subunit 125kDa",1.32,3.01,,
1425860_x_at,CKLF*,chemokine-like factor,1.41,3.01,,
1428727_at,CEP192,centrosomal protein 192kDa,1.29,3.01,,
1428694_at,MIRHG1,microRNA host gene 1 (non-protein coding),1.07,3.01,,
1434857_at,ZFP783,zinc finger protein 783,1.31,3.01,,
1416073_a_at,NUP85,nucleoporin 85kDa,1.25,3.01,,
1428519_at,C3ORF26*,chromosome 3 open reading frame 26,1.36,3.00,,
1419132_at,TLR2,toll-like receptor 2,1.40,3.00,,
1427147_at,C6ORF167*,chromosome 6 open reading frame 167,1.21,3.00,,
